CourseName,Instructor,Term,CourseId,CourseKind,Credit,Major,SimplifiedMajor
Rust程序设计语言,"冯洋,徐宝文",2024-2025-2,22011830,,2.0,"2022计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）,2022计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
人工智能,杨育彬,2024-2025-2,22010520,,2.0,"2022计算机学院计算机科学与技术,2022计算机学院金融工程（计算机金融实验班）","计科,计金"
人工智能,"霍静,高阳",2025-2026-1,22020370,,3.0,"2022计算机学院计算机科学与技术（拔尖计划）,2022匡亚明学院理科强化班,2023计算机学院信息与计算科学（强基计划）","信计,匡计,计拔"
人机接口技术,王崇骏,2025-2026-1,22011250,,2.0,"2023计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术,2023计算机学院计算机科学与技术（拔尖计划）","信计,计拔,计科"
信息与计算科学导论,"仲盛,张渊",2025-2026-1,22000140I,,2.0,"2025计算机学院信息与计算科学（强基计划）,2025软件学院软件工程,2025软件学院软件工程（至诚班）,2025计算机学院计算机科学与技术（至诚班）","信计,至诚"
信息与计算科学导论实验,仝伟,2025-2026-1,22000150T,,2.0,"2025计算机学院信息与计算科学（强基计划）,2025计算机学院计算机科学与技术（至诚班）","信计,至诚"
信息科学与实践,赵建华,2024-2025-2,22000170,,3.0,2024计算机学院信息与计算科学（强基计划）,信计
信息论基础,姚鹏晖,2024-2025-2,22011640,,2.0,"2022计算机学院计算机科学与技术,2022计算机学院信息与计算科学（强基计划）","信计,计科"
分布式与并行计算,谢磊,2025-2026-1,22010530,,2.0,"2023匡亚明学院理科强化班,2023计算机学院计算机科学与技术,2023计算机学院计算机科学与技术（拔尖计划）,2023计算机学院信息与计算科学（强基计划）,2022计算机学院金融工程（计算机金融实验班）","信计,匡计,计拔,计科,计金"
分布式数据处理,"叶保留,陆桑璐",2024-2025-2,22011690,,2.0,2022计算机学院计算机科学与技术,计科
分布式网络,陈贵海,2025-2026-1,22011440,,2.0,2022计算机学院计算机科学与技术,计科
